currency,main-programming-language,company-type,workmode,min-experience,max-experience,english-level,max-title,income-in-currency
Pesos,Java,Colombiana con mercado extranjero,Remoto,6,6,3,1,126000000.0
Pesos,Otro lenguaje de programación,Colombiana con mercado extranjero,Remoto,5,5,1,4,88400000.0
Pesos,Python,Extranjera,Remoto,5,5,4,4,216000000.0
Pesos,Javascript,Colombiana con mercado nacional,Remoto,3,3,0,1,70000000.0
Pesos,Typescript,Extranjera,Remoto,6,6,3,4,137000000.0
Pesos,Javascript,Extranjera,Remoto,4,4,3,1,81280836.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,5,5,3,4,202800000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,2,2,1,4,54000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,1,1,3,4,54000000.0
Pesos,Javascript,Colombiana con mercado nacional,Presencial,3,3,2,1,48000000.0
Pesos,C++,Extranjera,Híbrido,5,5,3,4,168670000.0
Dólares,Typescript,Extranjera,Remoto,15,15,4,5,96000.0
Pesos,Typescript,Colombiana con mercado nacional,Híbrido,2,2,3,4,54000000.0
Pesos,C#,Extranjera,Remoto,3,3,4,4,60000000.0
Pesos,Javascript,Colombiana con mercado nacional,Híbrido,4,4,1,5,110000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,1,1,0,4,35000000.0
Pesos,Kotlin,Extranjera,Remoto,9,9,3,4,202150000.0
Dólares,Swift/Objective C,Extranjera,Remoto,12,12,4,5,130000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,3,3,0,5,36000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,13,13,0,4,156000000.0
Pesos,Kotlin,Extranjera,Híbrido,10,10,4,4,35000000.0
Pesos,Kotlin,Colombiana con mercado nacional,Remoto,10,10,1,1,11000000.0
Pesos,Kotlin,Colombiana con mercado extranjero,Remoto,15,15,4,4,260000000.0
Pesos,Kotlin,Extranjera,Remoto,10,10,3,4,266000000.0
Dólares,Python,Extranjera,Remoto,7,7,2,1,140000.0
Dólares,Javascript,Extranjera,Remoto,3,3,3,4,24000.0
Dólares,Elixir,Extranjera,Remoto,11,11,4,4,180630.0
Dólares,Javascript,Extranjera,Remoto,4,4,4,1,10000.0
Pesos,Kotlin,Extranjera,Remoto,10,10,1,4,224800000.0
Pesos,Javascript,Extranjera,Remoto,10,10,3,4,94000000.0
Pesos,Kotlin,Colombiana con mercado nacional,Remoto,10,10,2,5,16000000.0
Pesos,Kotlin,Extranjera,Híbrido,10,10,3,4,228000000.0
Pesos,Kotlin,Colombiana con mercado extranjero,Remoto,8,8,1,4,102000000.0
Pesos,Javascript,Colombiana con mercado nacional,Remoto,1,1,2,4,30000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,4,4,2,4,18000000.0
Pesos,Kotlin,Colombiana con mercado extranjero,Remoto,10,10,0,5,250000000.0
Pesos,C#,Colombiana con mercado nacional,Remoto,4,4,0,1,48000000.0
Dólares,Typescript,Extranjera,Remoto,11,11,2,1,60000.0
Dólares,Python,Extranjera,Remoto,4,4,4,5,60000.0
Pesos,Python,Colombiana con mercado nacional,Híbrido,4,4,2,5,50400000.0
Pesos,Python,Extranjera,Híbrido,2,2,3,4,94500000.0
Pesos,Java,Extranjera,Remoto,4,4,3,4,75000000.0
Dólares,Kotlin,Extranjera,Remoto,15,15,4,4,100000.0
Dólares,Javascript,Soy independiente (Freelance),Remoto,13,13,4,4,160000.0
Pesos,Kotlin,Colombiana con mercado extranjero,Remoto,6,6,3,4,123600000.0
Pesos,Typescript,Extranjera,Remoto,11,11,3,4,163800000.0
Pesos,Python,Colombiana con mercado nacional,Remoto,3,3,0,4,71900000.0
Pesos,Go,Colombiana con mercado extranjero,Híbrido,9,9,2,4,0.0
Dólares,Javascript,Colombiana con mercado extranjero,Remoto,4,4,2,5,36000.0
Pesos,Typescript,Extranjera,Remoto,14,14,4,4,625000000.0
Pesos,Python,Extranjera,Remoto,4,4,4,4,222060000.0
Pesos,Python,Colombiana con mercado nacional,Remoto,4,4,2,5,90000000.0
Pesos,Typescript,Colombiana con mercado nacional,Remoto,3,3,4,4,150000000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,5,5,2,4,90000000.0
Pesos,Javascript,Colombiana con mercado nacional,Presencial,3,3,2,5,32400000.0
Dólares,Otro lenguaje de programación,Extranjera,Remoto,7,7,4,4,84000.0
Pesos,Javascript,Extranjera,Remoto,6,6,3,1,192000000.0
Dólares,Javascript,Extranjera,Remoto,7,7,4,5,100000.0
Pesos,Javascript,Colombiana con mercado extranjero,Presencial,8,8,1,4,95000000.0
Pesos,Go,Colombiana con mercado extranjero,Híbrido,7,7,3,5,400000000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,6,6,2,4,204000000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,6,6,3,5,155000000.0
