respondent_id,date_created,date_modified,company-type,company-activity,company-years,position,seniority,founder,experience,main-programming-language,contract-type,workmode,work-time,currency,income-in-currency,extra-income-in-currency,stocks,stock-type,max-title,english-level,city
12918839649,08/25/2021 6:38:45 PM,08/25/2021 7:07:36 PM,Empresa Colombiana con mercado global,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",5 - 10,Frontend Developer/ Engineer,Mid (intermedio),No,3 - 5 años,JavaScript,Contrato a término fijo,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",48,Pesos,24000000,1200000,0,No,Pregrado,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Medellín
12918820450,08/25/2021 6:46:21 PM,08/25/2021 6:58:26 PM,Empresa Colombiana con mercado global,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Full Stack Developer/ Engineer,Mid (intermedio),No,2+ años,JavaScript,Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",36,Pesos,42000000,0,0,No,Bachiller,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Medellín
12918815604,08/25/2021 6:42:29 PM,08/25/2021 6:50:49 PM,Empresa Colombiana con mercado EEUU,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Backend Developer/ Engineer,Mid (intermedio),No,5 - 10 años,JavaScript,Contratista internacional,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",40,Dólares,34800,0,0,No,Técnico,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Medellín
12918802805,08/25/2021 6:38:15 PM,08/25/2021 6:47:56 PM,Empresa Colombiana con mercado global,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",5 - 10,Frontend Developer/ Engineer,Mid (intermedio),No,1+ año,JavaScript,Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",38,Pesos,36000000,3600000,0,No,Bachiller,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Medellín
12918790365,08/25/2021 6:32:37 PM,08/25/2021 6:46:12 PM,Empresa Colombiana con mercado Colombiano,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Backend Developer/ Engineer,Senior (Avanzado),Sí,5 - 10 años,C#,Contrato a término indefinido,Presencial (ocupa más del 60% de su tiempo en una oficina),52,Pesos,15600000,12000,19000000,No,Pregrado,Básico (puede leer documentación y código en inglés),Bogotá
12918792795,08/25/2021 6:33:34 PM,08/25/2021 6:43:49 PM,Empresa Colombiana con mercado Colombiano,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",5 - 10,Full Stack Developer/ Engineer,Mid (intermedio),No,3 - 5 años,Java,Contrato a término indefinido,"Flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",50,Pesos,60000000,0,0,No,Tecnólogo,Básico (puede leer documentación y código en inglés),Medellín
12918742376,08/25/2021 6:12:35 PM,08/25/2021 6:20:40 PM,Empresa Colombiana con mercado Colombiano,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Software Engineer,Mid (intermedio),No,3 - 5 años,PHP,Otro,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",60,Pesos,6200000,0,0,No,Especialista,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Manizales
12918705917,08/25/2021 5:58:35 PM,08/25/2021 6:06:45 PM,Empresa Colombiana con mercado Colombiano,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Software Engineer,Senior (Avanzado),No,3 - 5 años,C#,Contrato a término indefinido,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",40,Pesos,40000000,0,0,No,Pregrado,Básico (puede leer documentación y código en inglés),Otro
12918640919,08/25/2021 5:30:29 PM,08/25/2021 5:50:40 PM,Empresa Colombiana con mercado global,Otro,1,Developer/ Engineer,Junior (Principiante),No,3 - 5 años,C#,Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",45,Pesos,30000000,0,0,No,Maestría,Básico (puede leer documentación y código en inglés),Manizales
12918647763,08/25/2021 5:33:15 PM,08/25/2021 5:50:39 PM,Empresa Colombiana con mercado latinoamericano,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",Más de 10,Otro,Senior (Avanzado),No,10 - 15 años,JavaScript,Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",8,Pesos,144000000,24000000,0,No,Maestría,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Popayán
