respondent_id,date_created,date_modified,company-type,company-activity,company-years,position,seniority,founder,experience,main-programming-language,contract-type,workmode,work-time,currency,income-in-currency,extra-income-in-currency,stocks,stock-type,max-title,english-level,city,min-experience,max-experience
12865688683,08/03/2021 3:43:50 PM,08/03/2021 3:53:33 PM,Colombiana con mercado latinoamericano,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Backend Developer/ Engineer,Senior (Avanzado),No,Más de 15 años,Otro,Contrato a término indefinido,Remoto,48,Pesos,68900000.0,0,0,No,4,2,Bogotá,15,15
12865681871,08/03/2021 3:40:24 PM,08/03/2021 3:51:49 PM,Extranjera,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Otro,Senior (Avanzado),No,5 - 10 años,"Mánager",Contrato a término indefinido,Flexible,40,Pesos,192000000.0,30000000,0,No,3,3,Medellín,5,9
12865689029,08/03/2021 3:43:55 PM,08/03/2021 3:51:01 PM,Colombiana con mercado EEUU,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Software Engineer,Junior (Principiante),No,1+ año,JavaScript,"Contrato a término indefinido con empresa local, pero trabajo para empresa Extranjera",Flexible,40,Pesos,48000000.0,0,0,No,4,3,Barranquilla,1,1
12865673863,08/03/2021 3:38:43 PM,08/03/2021 3:50:28 PM,Extranjera,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",2 - 5,Software Engineer,Senior (Avanzado),No,5 - 10 años,TypeScript,"Contrato a término indefinido con empresa local, pero trabajo para empresa Extranjera",Flexible,40,Pesos,9200000.0,0,0,Sí - stock options,4,3,Bogotá,5,9
12865680923,08/03/2021 3:41:11 PM,08/03/2021 3:48:53 PM,Colombiana con mercado Colombiano,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,QA / Tester Engineer,Junior (Principiante),No,1+ año,Python,Contrato a término indefinido,Remoto,35,Pesos,48000000.0,4000000,0,No,4,3,Bogotá,1,1
12865669250,08/03/2021 3:37:00 PM,08/03/2021 3:48:16 PM,Extranjera,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Frontend Developer/ Engineer,Mid (intermedio),No,2+ años,JavaScript,Contrato a término indefinido,Flexible,40,Pesos,72000000.0,0,0,No,4,3,Medellín,2,2
12865682996,08/03/2021 3:41:46 PM,08/03/2021 3:48:12 PM,Extranjera,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Frontend Developer/ Engineer,Mid (intermedio),No,3 - 5 años,JavaScript,"Contrato a término indefinido con empresa local, pero trabajo para empresa Extranjera",Remoto,40,Pesos,120000000.0,0,0,No,4,3,Barranquilla,3,4
12865673099,08/03/2021 3:37:42 PM,08/03/2021 3:47:56 PM,Extranjera,"Servicio o producto de tecnología (similar a Dropbox, GitHub, Stripe, Heroku o hardware)",2 - 5,Software Engineer,Mid (intermedio),No,5 - 10 años,Go,Contratista internacional,Remoto,44,Dólares,100000.0,0,4500,Sí - stock options,4,3,Medellín,5,9
12865672195,08/03/2021 3:37:40 PM,08/03/2021 3:46:01 PM,Extranjera,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",5 - 10,Frontend Developer/ Engineer,Senior (Avanzado),No,5 - 10 años,JavaScript,Contratista internacional,Remoto,40,Dólares,66000.0,0,0,Sí - stock options,1,3,Medellín,5,9
12865681741,08/03/2021 3:41:17 PM,08/03/2021 3:45:59 PM,Extranjera,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Software Engineer,Senior (Avanzado),No,5 - 10 años,Kotlin,Contrato a término fijo,Remoto,48,Pesos,57000000.0,0,0,No,4,3,Bogotá,5,9
12865641869,08/03/2021 3:27:08 PM,08/03/2021 3:40:48 PM,Extranjera,Consultoría y servicios de desarrollo de software a la medida,Más de 10,QA / Tester Engineer,Mid (intermedio),No,2+ años,Java,Contrato a término indefinido,Remoto,40,Pesos,65916000.0,5362000,0,No,1,1,Medellín,2,2
12865613996,08/03/2021 3:15:19 PM,08/03/2021 3:26:24 PM,"Sector público colombiano (ministerios, secretarías, alcaldías, etc)",Otro,Más de 10,Teacher | Coach | Mentor | Educator,Senior (Avanzado),No,Más de 15 años,Java,Contrato a término indefinido,Flexible,48,Pesos,8956000.0,1000000,0,No,7,2,Medellín,15,15
12865603921,08/03/2021 3:11:37 PM,08/03/2021 3:23:58 PM,Colombiana con mercado Colombiano,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",1,Full Stack Developer/ Engineer,Junior (Principiante),No,Menos de 1 año,JavaScript,Contrato a término indefinido,Flexible,40,Pesos,24000000.0,20000,0,No,1,1,Otro,0,0
12865591136,08/03/2021 3:05:18 PM,08/03/2021 3:16:41 PM,Extranjera,Otro,Más de 10,Data Scientist / Engineer,Senior (Avanzado),No,3 - 5 años,Python,Contrato a término indefinido,Remoto,30,Pesos,180000000.0,22500000,0,No,6,4,Bogotá,3,4
12865573861,08/03/2021 2:58:36 PM,08/03/2021 3:10:38 PM,Extranjera,Consultoría y servicios de desarrollo de software a la medida,Más de 10,QA / Tester Engineer,Mid (intermedio),No,Menos de 1 año,Java,Contrato a término indefinido,Remoto,40,Pesos,14000000.0,0,0,No,1,2,Otro,0,0
12865579159,08/03/2021 3:01:22 PM,08/03/2021 3:10:08 PM,Colombiana con mercado Colombiano,"Servicio o producto de tecnología (similar a Dropbox, GitHub, Stripe, Heroku o hardware)",Más de 10,Analyst / Analista,Junior (Principiante),No,Menos de 1 año,Python,Contrato a término indefinido,Remoto,48,Pesos,44400000.0,0,0,No,4,3,Bogotá,0,0
